city,date,weekday,hour,concat,SeasonalNaive,HoltWinters,Arima,TBATS
LIM,2021-01-08,Friday,0,LIM442040,0,0,0,0
LIM,2021-01-08,Friday,1,LIM442041,0,0,0,0
LIM,2021-01-08,Friday,2,LIM442042,0,0,0,0
LIM,2021-01-08,Friday,3,LIM442043,0,0,0,0
LIM,2021-01-08,Friday,4,LIM442044,0,0,0,0
LIM,2021-01-08,Friday,5,LIM442045,0,0,0,0
LIM,2021-01-08,Friday,6,LIM442046,0,0,0,0
LIM,2021-01-08,Friday,7,LIM442047,97,105,100,101
LIM,2021-01-08,Friday,8,LIM442048,285,307,291,295
LIM,2021-01-08,Friday,9,LIM442049,553,596,565,572
LIM,2021-01-08,Friday,10,LIM4420410,684,738,699,709
LIM,2021-01-08,Friday,11,LIM4420411,911,983,931,944
LIM,2021-01-08,Friday,12,LIM4420412,1937,2089,1979,2007
LIM,2021-01-08,Friday,13,LIM4420413,2075,2238,2120,2149
LIM,2021-01-08,Friday,14,LIM4420414,1379,1488,1409,1429
LIM,2021-01-08,Friday,15,LIM4420415,1331,1436,1360,1379
LIM,2021-01-08,Friday,16,LIM4420416,1147,1238,1172,1189
LIM,2021-01-08,Friday,17,LIM4420417,1087,1173,1111,1126
LIM,2021-01-08,Friday,18,LIM4420418,1345,1451,1374,1394
LIM,2021-01-08,Friday,19,LIM4420419,2327,2510,2378,2411
LIM,2021-01-08,Friday,20,LIM4420420,2162,2332,2209,2240
LIM,2021-01-08,Friday,21,LIM4420421,1338,1443,1367,1386
LIM,2021-01-08,Friday,22,LIM4420422,525,566,536,544
LIM,2021-01-08,Friday,23,LIM4420423,126,135,128,130
LIM,2021-01-09,Saturday,0,LIM442050,0,0,0,0
LIM,2021-01-09,Saturday,1,LIM442051,0,0,0,0
LIM,2021-01-09,Saturday,2,LIM442052,0,0,0,0
LIM,2021-01-09,Saturday,3,LIM442053,0,0,0,0
LIM,2021-01-09,Saturday,4,LIM442054,0,0,0,0
LIM,2021-01-09,Saturday,5,LIM442055,0,0,0,0
LIM,2021-01-09,Saturday,6,LIM442056,0,0,0,0
LIM,2021-01-09,Saturday,7,LIM442057,109,117,112,105
LIM,2021-01-09,Saturday,8,LIM442058,353,377,361,339
LIM,2021-01-09,Saturday,9,LIM442059,531,567,542,510
LIM,2021-01-09,Saturday,10,LIM4420510,614,655,627,590
LIM,2021-01-09,Saturday,11,LIM4420511,837,894,855,804
LIM,2021-01-09,Saturday,12,LIM4420512,1682,1795,1718,1615
LIM,2021-01-09,Saturday,13,LIM4420513,2178,2324,2225,2092
LIM,2021-01-09,Saturday,14,LIM4420514,1790,1911,1829,1720
LIM,2021-01-09,Saturday,15,LIM4420515,1321,1410,1350,1269
LIM,2021-01-09,Saturday,16,LIM4420516,1084,1157,1107,1041
LIM,2021-01-09,Saturday,17,LIM4420517,996,1063,1018,957
LIM,2021-01-09,Saturday,18,LIM4420518,1285,1372,1313,1234
LIM,2021-01-09,Saturday,19,LIM4420519,2139,2283,2185,2054
LIM,2021-01-09,Saturday,20,LIM4420520,2370,2529,2421,2276
LIM,2021-01-09,Saturday,21,LIM4420521,1728,1844,1765,1659
LIM,2021-01-09,Saturday,22,LIM4420522,664,709,679,638
LIM,2021-01-09,Saturday,23,LIM4420523,185,198,189,178
LIM,2021-01-10,Sunday,0,LIM442060,0,0,0,0
LIM,2021-01-10,Sunday,1,LIM442061,0,0,0,0
LIM,2021-01-10,Sunday,2,LIM442062,0,0,0,0
LIM,2021-01-10,Sunday,3,LIM442063,0,0,0,0
LIM,2021-01-10,Sunday,4,LIM442064,0,0,0,0
LIM,2021-01-10,Sunday,5,LIM442065,0,0,0,0
LIM,2021-01-10,Sunday,6,LIM442066,0,0,0,0
LIM,2021-01-10,Sunday,7,LIM442067,121,120,113,102
LIM,2021-01-10,Sunday,8,LIM442068,453,448,421,380
LIM,2021-01-10,Sunday,9,LIM442069,611,605,569,513
LIM,2021-01-10,Sunday,10,LIM4420610,666,658,619,558
LIM,2021-01-10,Sunday,11,LIM4420611,895,885,833,751
LIM,2021-01-10,Sunday,12,LIM4420612,2372,2346,2206,1989
LIM,2021-01-10,Sunday,13,LIM4420613,3246,3210,3019,2722
LIM,2021-01-10,Sunday,14,LIM4420614,2752,2722,2560,2308
LIM,2021-01-10,Sunday,15,LIM4420615,1871,1851,1741,1570
LIM,2021-01-10,Sunday,16,LIM4420616,1360,1345,1265,1141
LIM,2021-01-10,Sunday,17,LIM4420617,1238,1225,1152,1039
LIM,2021-01-10,Sunday,18,LIM4420618,1542,1525,1434,1293
LIM,2021-01-10,Sunday,19,LIM4420619,2322,2296,2160,1947
LIM,2021-01-10,Sunday,20,LIM4420620,2167,2144,2016,1818
LIM,2021-01-10,Sunday,21,LIM4420621,1236,1222,1149,1036
LIM,2021-01-10,Sunday,22,LIM4420622,393,389,366,330
LIM,2021-01-10,Sunday,23,LIM4420623,59,58,55,49
LIM,2021-01-11,Monday,0,LIM442070,0,0,0,0
LIM,2021-01-11,Monday,1,LIM442071,0,0,0,0
LIM,2021-01-11,Monday,2,LIM442072,0,0,0,0
LIM,2021-01-11,Monday,3,LIM442073,0,0,0,0
LIM,2021-01-11,Monday,4,LIM442074,0,0,0,0
LIM,2021-01-11,Monday,5,LIM442075,0,0,0,0
LIM,2021-01-11,Monday,6,LIM442076,0,0,0,0
LIM,2021-01-11,Monday,7,LIM442077,128,132,130,123
LIM,2021-01-11,Monday,8,LIM442078,384,397,389,369
