city_code,year,week,day,date,hour,total_orders,delivered_orders
LIM,2018,1,Monday,1/1/2018,13,16,13
LIM,2018,1,Monday,1/1/2018,14,9,9
LIM,2018,1,Monday,1/1/2018,15,7,5
LIM,2018,1,Monday,1/1/2018,16,3,2
LIM,2018,1,Monday,1/1/2018,17,4,4
LIM,2018,1,Monday,1/1/2018,18,11,10
LIM,2018,1,Monday,1/1/2018,19,16,14
LIM,2018,1,Monday,1/1/2018,20,13,11
LIM,2018,1,Monday,1/1/2018,21,8,7
LIM,2018,1,Monday,1/1/2018,22,1,1
LIM,2018,1,Tuesday,1/2/2018,9,1,1
LIM,2018,1,Tuesday,1/2/2018,10,4,2
LIM,2018,1,Tuesday,1/2/2018,11,12,9
LIM,2018,1,Tuesday,1/2/2018,12,6,5
LIM,2018,1,Tuesday,1/2/2018,13,12,10
LIM,2018,1,Tuesday,1/2/2018,14,10,9
LIM,2018,1,Tuesday,1/2/2018,15,3,3
LIM,2018,1,Tuesday,1/2/2018,16,2,1
LIM,2018,1,Tuesday,1/2/2018,17,5,4
LIM,2018,1,Tuesday,1/2/2018,18,5,4
LIM,2018,1,Tuesday,1/2/2018,19,13,8
LIM,2018,1,Tuesday,1/2/2018,20,20,17
LIM,2018,1,Tuesday,1/2/2018,21,7,7
LIM,2018,1,Tuesday,1/2/2018,22,6,5
LIM,2018,1,Tuesday,1/2/2018,23,2,0
LIM,2018,1,Wednesday,1/3/2018,10,6,4
LIM,2018,1,Wednesday,1/3/2018,11,2,2
LIM,2018,1,Wednesday,1/3/2018,12,6,6
LIM,2018,1,Wednesday,1/3/2018,13,7,7
LIM,2018,1,Wednesday,1/3/2018,14,7,5
LIM,2018,1,Wednesday,1/3/2018,15,5,4
LIM,2018,1,Wednesday,1/3/2018,16,2,2
LIM,2018,1,Wednesday,1/3/2018,18,7,7
LIM,2018,1,Wednesday,1/3/2018,19,10,10
LIM,2018,1,Wednesday,1/3/2018,20,24,22
LIM,2018,1,Wednesday,1/3/2018,21,10,10
LIM,2018,1,Wednesday,1/3/2018,22,3,2
LIM,2018,1,Wednesday,1/3/2018,23,1,1
LIM,2018,1,Thursday,1/4/2018,9,3,3
LIM,2018,1,Thursday,1/4/2018,10,4,4
LIM,2018,1,Thursday,1/4/2018,11,2,1
